lead_id,business_name,city,state_province,country,email,phone,website,instagram,owner_name,services,staff_size_est,tier,specialty_tags,source_wave,notes
LANEB-MS-W103-011,Everlasting Aesthetics,Watkinsville,GA,USA,,(706) 410-5112,https://everlastingaesthetics.com,@everlastingaesthetics,,injectables/fillers/skin treatments/laser,2-4,A,"injectables,laser,facial-aesthetics,skin",W103-LaneB,"Phone confirmed; small-town GA independent; owner-led"
LANEB-MS-W103-012,SkinCentric,Tupelo,MS,USA,,(662) 257-8081,https://skincentric.com,@skincentric,,injectables/laser/skin rejuvenation/HydraFacial/body contouring,3-6,A,"injectables,laser,skin,body-contouring,facial-aesthetics",W103-LaneB,"Phone confirmed; email Cloudflare-obfuscated on site; independent Tupelo MS"
LANEB-MS-W103-013,Lush MedSpa,Tuscaloosa,AL,USA,Info@lushmedspas.com,,https://www.lushmedspas.com,@lushmedspas,,injectables/fillers/laser/facials/body contouring/IV therapy,3-6,A,"injectables,laser,body-contouring,IV-therapy,facial-aesthetics",W103-LaneB,"Direct email confirmed on site; Tuscaloosa independent"
LANEB-MS-W103-014,Auburn Med Spa,Auburn,AL,USA,,(334) 501-2221,https://auburnmedspa.com,@auburnmedspa,,injectables/fillers/laser/facials/body contouring/skin care,3-5,A,"injectables,laser,body-contouring,facial-aesthetics,skin",W103-LaneB,"Phone confirmed; Auburn AL independent; website address confusion resolved"
LANEB-MS-W103-015,About Face Medical Aesthetics,Portsmouth,NH,USA,,(603) 580-5296,https://aboutfacenh.com,@aboutfacenh,,injectables/fillers/laser/skin rejuvenation/body treatments,2-4,A,"injectables,laser,skin,facial-aesthetics",W103-LaneB,"Phone confirmed; New England independent; Portsmouth NH"
LANEB-MS-W103-016,Radiant Esthetics,Newport,RI,USA,radiantesthetics401@gmail.com,(401) 848-0022,https://radiantesthetics.com,@radiantesthetics,Jana Magarian APRN FNP MSCP,injectables/fillers/menopause/hormone therapy/skin/wellness,1-3,A,"injectables,hormones,wellness,anti-aging,facial-aesthetics",W103-LaneB,"Owner-led APRN; direct email + phone confirmed; menopause/hormone specialty — strong ICP"
LANEB-MS-W103-017,Lavish Wellness & Aesthetics,Wilmington,DE,USA,info@livelavishde.com,(302) 604-3448,https://livelavishde.com,@livelavishde,,injectables/fillers/laser/IV therapy/wellness/body contouring,3-5,A,"injectables,laser,IV-therapy,body-contouring,wellness",W103-LaneB,"Direct email + phone confirmed; Wilmington DE independent"
LANEB-MS-W103-018,Evri Aesthetics,Wilmington,DE,USA,,(302) 784-3874,https://evriaesthetics.com,@evriaesthetics,,injectables/fillers/laser/skin/facials,2-4,B,"injectables,laser,facial-aesthetics,skin",W103-LaneB,"Phone confirmed; no email on site; Wilmington DE boutique"
LANEB-MS-W103-019,Rejuvenate Med Spa,Waterloo,IA,USA,rejuvenatemedspanp@gmail.com,(319) 939-1824,https://www.rejuvenatemedspaia.org,@rejuvenatemedspaarnp,,injectables/laser/body contouring/skincare/wellness,2-4,A,"injectables,laser,body-contouring,wellness,anti-aging",W103-LaneB,"Direct email + phone confirmed; independent Waterloo IA; ARNP-led"
LANEB-MS-W103-020,Nova MedSpa,Dubuque,IA,USA,,(563) 599-7422,https://www.novamedspa.org,@nova.medspa,"Sarah (mother-daughter team)",injectables/BBL/Moxi/laser hair/PRP hair/PDO threads/weight loss/HRT/peptide therapy/GLP-1,4-8,A,"injectables,laser,hair-restoration,hormones,weight-loss,longevity",W103-LaneB,"Mother-daughter owner team 15+ yrs; phone confirmed; full hormone+GLP-1+longevity stack; 3 IA locations"
LANEB-MS-W103-021,Aesthetic Creator,Mankato,MN,USA,hello@aestheticcreator.com,(507) 625-6599,https://aestheticcreator.com,@theaestheticcreator,Leslie Lee (aesthetician & nurse),injectables/PRP/DiamondGlow/SkinPen/IPL/CoolSculpting/body contouring/hormone health/stem cells,2-4,A,"injectables,laser,body-contouring,hormones,regenerative,hair-restoration",W103-LaneB,"Owner-led aesthetician+nurse; direct email + phone confirmed; hormone health + stem cells combo"
LANEB-MS-W103-022,Pretty Please Aesthetics,Casper,WY,USA,prettypleaseaesthetics@gmail.com,(307) 259-8409,https://www.prettypleaseaestheticswyo.com,@prettypleaseaesthetics,Amanda NP,injectables/fillers/microneedling/chemical peels/women's health,1-3,A,"injectables,facial-aesthetics,skin,wellness",W103-LaneB,"Solo NP owner; direct email + phone confirmed; women's health specialty; 20+ yrs medical field"
LANEB-MS-W103-023,Sapphire Health & Wellness,Casper,WY,USA,sapphirehealthwellness@gmail.com,(307) 251-3083,https://sapphirewellnesswyo.com,,Sara Thronburg NP,"injectables/IV therapy/NAD+/facials/weight loss/hormone therapy/peptides/regenerative medicine/mobile visits",3-6,A,"injectables,IV-therapy,hormones,weight-loss,longevity,regenerative,wellness",W103-LaneB,"NP founder 25+yr healthcare; direct email + phone confirmed; mobile visits + NAD+/peptide combo = strong ICP"
LANEB-MS-W103-024,Glow By Laser,Bethlehem,PA,USA,contact@glowbylaser.com,(484) 995-5098,https://glowbylaser.com,@glowbylaser,Sarolta,"laser hair removal/injectables/HydraFacial/hair restoration/body contouring/Joule Sciton",2-4,A,"laser,injectables,hair-restoration,body-contouring,facial-aesthetics",W103-LaneB,"Owner 20+yr laser exp; direct email + phone confirmed; boutique Bethlehem PA; Joule Sciton investment signals revenue"
LANEB-MS-W103-025,Northeast Medical Aesthetics,Bethlehem,PA,USA,,(484) 202-0017,https://northeastmedicalaesthetics.com,@northeastmedicalaestheticsllc,"Scott Naftulin D.O. & Amanda Yesvetz PA-C",injectables/fillers/PRP/PRF/microneedling/HRT/NAD+/peptides/hair restoration/weight loss,3-6,A,"injectables,hormones,regenerative,hair-restoration,weight-loss,men-focused",W103-LaneB,"DO+PA ownership; phone confirmed; PRP+PRF+PDRN+exosomes = regenerative stack; men's hormone focus strong"
LANEB-MS-W103-026,Kàllos Aesthetics by Nurse Kellie,Urangan,QLD,AUS,,(07) 2103-3359,https://www.kallosaesthetics.com.au,@kallosaesthetics_bynursekellie,Nurse Kellie (RN AHPRA),anti-wrinkle/facial contouring/microneedling/Rejuran/skincare range,1-2,A,"injectables,facial-aesthetics,skin,anti-aging",W103-LaneB,"Solo nurse owner; AHPRA registered; phone confirmed; Hervey Bay/Maryborough regional AUS"
LANEB-MS-W103-027,Skin Aesthetics UK,Wrexham,Wales,UK,,,"https://www.skinaestheticsuk.co.uk",@skinaestheticswxm,Kelly (owner-nurse),injectables/fillers/skin treatments/laser/scar treatment,3-5,B,"injectables,laser,skin,facial-aesthetics,anti-aging",W103-LaneB,"Award-winning nurse-led clinic Wrexham; no email/phone on homepage; contact form only"
LANEB-MS-W103-028,Leslie Med Spa,Newmarket,ON,CAN,info@lesliemedspa.ca,(905) 235-7770,https://lesliemedspa.ca,@lesliemedspa,"Mitra & Elizabeth (owners)","injectables/Botox/fillers/OxyGeneo facial/microneedling/photo facial/laser hair removal/body contouring",3-5,A,"injectables,laser,facial-aesthetics,body-contouring,skin",W103-LaneB,"Owner-led since 2014; direct email + phone confirmed; 4.9-star Newmarket; same practitioner every visit model"
LANEB-MS-W103-029,Skin Redefined,Cheltenham,England,UK,info@skinredefined.co.uk,07584924108,https://www.skinredefined.co.uk,@skinredefined_aesthetics,Kelly Whittaker Nurse Prescriber,"anti-wrinkle/fillers/Profhilo/polynucleotides/RF microneedling/body sculpting/mole removal/skin boosters",1-2,A,"injectables,skin,facial-aesthetics,anti-aging,regenerative",W103-LaneB,"Solo nurse prescriber owner; direct email + phone confirmed; regenerative + menopausal skin specialty; Save Face accredited"
LANEB-MS-W103-030,Indulgence Aesthetics Wellness & Med Spa,Lowell,MA,USA,indulgencespawellness@gmail.com,(978) 455-8735,https://indulgencemedspa.net,@indulgencemedspa,Anu (owner),"injectables/laser hair removal/body sculpting/IV therapy/PRP/skin resurfacing/HydraFacial/acupuncture/massage/weight loss",5-10,A,"injectables,laser,body-contouring,IV-therapy,wellness,weight-loss",W103-LaneB,"Owner Anu; direct email + phone confirmed; full-spectrum Lowell MA; IV+wellness+injectables+weight loss combo"
LANEB-MS-W103-031,Face Lab Valdosta,Valdosta,GA,USA,info@facelabvaldosta.com,(229) 242-0331,https://www.facelabvaldosta.com,@face.lab,,"injectables/PDO threads/laser/microneedling/chemical peels/brow+lash/body sculpting",3-5,A,"injectables,laser,facial-aesthetics,skin",W103-LaneB,"Best of South Georgia 10+ years; direct email + phone confirmed; NP-led boutique"
LANEB-MS-W103-032,RNRC Aesthetics,Whitby,ON,CAN,musebyrnrc@outlook.com,(905) 925-4607,https://www.rnrcaesthetics.com,@rnrc.aesthetics,Rochele RN (founder),injectables/fillers/Botox/B12 shots/IV infusions/PRP/PRF/fat dissolving/microneedling,1-3,A,"injectables,facial-aesthetics,IV-therapy,regenerative,anti-aging",W103-LaneB,"Solo RN founder; direct email + phone confirmed; Durham Region ON; injector-focused boutique"
LANEB-MS-W103-033,Gloucestershire Medical Aesthetics,Gloucester,England,UK,gloucestershiremedicalaesthetics@hotmail.com,01452341932,https://www.gloucestershiremedicalaesthetics.co.uk,@gma_aesthetics,Kate Stewart RN (founder),"fillers/anti-wrinkle/HIFU/CO2 laser/microneedling/weight loss/women's health/B12/hyperhidrosis",3-6,A,"injectables,laser,skin,facial-aesthetics,wellness,weight-loss,anti-aging",W103-LaneB,"RN founder 25+yr exp; direct email + phone confirmed; CQC-registered; Save Face accredited; first CQC medspa in Gloucester"
LANEB-MS-W103-034,Tollgate Aesthetics,Warwick,RI,USA,,(401) 737-2426,https://www.tollgateaesthetics.com,@tollgate_aesthetics,,injectables/RF microneedling/PRF/TruSculpt 3D/laser hair/IPL/vein treatments/body sculpting,3-5,A,"injectables,laser,body-contouring,skin,regenerative",W103-LaneB,"Phone confirmed; Warwick RI independent medspa; contact form only for email — Tier A phone"
LANEB-MS-W103-035,LYFT Medical Aesthetics,Collingwood,ON,CAN,,705-443-8501,https://www.lyftmedicalaesthetics.ca/,,Ashley Mills RPN,"injectables,fillers,microneedling,Morpheus8,IPL,laser-hair,body-contouring,PRP,PRF,mens-services",2,A,"injectables,body-contouring,laser,hair-restoration,regenerative,men-focused",W103-LaneB,Owner Ashley Mills RPN; phone confirmed on site; no direct email listed (contact form); Collingwood cottage-country clientele
LANEB-MS-W103-036,Aspen Aesthetics + Wellness,Colorado Springs,CO,USA,info@aspen-elevated.com,719.256.0272,https://www.aspen-elevated.com/,@elevatedaestheticskelly,Kelly McKay RN/MSN/CRNA,"injectables,fillers,PRP-microneedling,IV-therapy,NAD+,cryotherapy,infrared-sauna,laser,RF-microneedling,CO2-laser",3,A,"injectables,IV-therapy,regenerative,longevity,laser,wellness",W103-LaneB,Clinical Director Kelly McKay RN/MSN/CRNA; veteran-owned; email+phone confirmed; IV/NAD+ longevity niche strong fit
LANEB-MS-W103-037,Irresistible Skin Clinic,Eastbourne,England,UK,info@irresistibleskinclinic.org,07411365302,https://www.irresistibleskinclinic.org/,,Elena,"chemical-peels,HIFU,RF-microneedling,CryoPen,Dermapen,IPL,laser-skin,tattoo-removal",1,A,"skin,laser,facial-aesthetics,anti-aging",W103-LaneB,Owner Elena 20+ yrs exp; email+phone confirmed; AlumierMD partner; solo operator strong growth-system fit
LANEB-MS-W103-038,Glam + Glo Medical Aesthetics Lounge,D'Iberville,MS,USA,,228.819.9558,https://ms.theglamandglo.com/,@glam.glo.aesthetics.ms,"Ashley McShurley NP, Jenna Drennen NP","injectables,fillers,Radiesse,Sculptra,microneedling,thread-lifts,chemical-peels,DiamondGlow,body-contouring",3,A,"injectables,facial-aesthetics,skin,body-contouring",W103-LaneB,NP duo Ashley McShurley & Jenna Drennen; phone confirmed on site; Mississippi + Florida locations but boutique independent; strong injector brand
LANEB-MS-W103-039,MedicSPA Gatineau,Gatineau,QC,CAN,info@medicspa-gatineau.ca,819.243.7667,https://medicspa-gatineau.ca/,,Dr. Patricia Berbari MD,"injectables,fillers,microneedling,chemical-peels,IPL,laser,RF-microneedling,CO2-laser,PRP,exosomes,body-contouring",5,A,"injectables,skin,laser,body-contouring,regenerative,anti-aging",W103-LaneB,Plastic surgeon Dr. Berbari; email+phone confirmed; Gatineau/Ottawa market; multilingual; adjacent surgical practice; strong high-value clientele
LANEB-MS-W103-040,Sorgente MedSpa,Hyannis,MA,USA,,508-534-9837,https://www.sorgentemedspa.com/,@luciacapecom,Dr. Lucia Cagnes MD FACOG,"injectables,fillers,laser,PRP,hair-restoration,skin-tightening,exosomes,hormones",1,A,"injectables,laser,regenerative,hair-restoration,anti-aging,wellness",W103-LaneB,Founder Dr. Lucia Cagnes MD board-certified OBGYN + aesthetics 30+ yrs; phone confirmed; solo practitioner Cape Cod; telehealth enabled; written book
LANEB-MS-W103-041,CNL Aesthetics,Cheltenham,England,UK,cheryl@cnlaesthetics.co.uk,07368 402738,https://cnlaesthetics.co.uk/,@cnl.aesthetics,Cheryl Lewis RN Prescriber,"botox,chemical-peels,IV-therapy,profhilo,B12-injections,polynucleotides,LumiSKN",1,A,"injectables,IV-therapy,wellness,skin",W103-LaneB,Owner Nurse Prescriber Cheryl Lewis; email+phone confirmed; IV drip + injectables; at-home visits available; Cheltenham/Gloucester area
LANEB-MS-W103-042,The Med Spa Dothan,Dothan,AL,USA,medspa@dothanvision.com,(334) 305-3305,https://www.themedspadothan.com/,,Aleigha McKinley + Dr. Brent McKinley,"peels,facials,microblading,permanent-makeup,waxing,injectables,dermaplaning",4,A,"skin,facial-aesthetics,injectables",W103-LaneB,Family-owned; Aleigha McKinley aesthetician+owner + Dr. McKinley ophthalmologist MD medical director; email+phone confirmed; Dothan wiregrass area
LANEB-MS-W103-043,Skin Aesthetics by Andrea,Huskisson (Nowra),NSW,AUS,andrea@skin-aesthetics.com.au,0457 726 366,https://www.skin-aesthetics.com.au/,@skinaestheticsbyandrea_au,Andrea RN NMW0001315842,"injectables,fillers,skin-treatments,microneedling,chemical-peels",1,A,"injectables,skin,facial-aesthetics,anti-aging",W103-LaneB,Owner Andrea RN AHPRA registered; email+phone confirmed; solo boutique Huskisson/Nowra South Coast NSW; full-time solo practice
LANEB-MS-W103-044,MediDerma Medical Spa,Oshawa,ON,CAN,info@medidermaspa.com,(905) 404-2220,https://medidermaspa.com/,,,"injectables,fillers,PRP,laser,CoolSculpting,IV-therapy,hair-restoration,microneedling,Venus-devices",5,A,"injectables,laser,body-contouring,hair-restoration,IV-therapy,regenerative",W103-LaneB,Email+phone confirmed on site; RN Heather listed; IV therapy + full laser suite; Oshawa Durham Region; been operating since ~2010
LANEB-MS-W103-045,Victoria Rose Aesthetics,Pickering,ON,CAN,,905-903-3300,https://victoriaroseaesthetics.ca/,,Victoria Rose Cyr RN,"injectables,fillers,Fotona,skin-treatments,microneedling",1,A,"injectables,skin,facial-aesthetics,anti-aging",W103-LaneB,Owner Victoria Rose Cyr RN advanced cosmetic injector 10+ yrs; 6 yrs running own practice; Fotona laser provider; phone confirmed via directory listing; Pickering Durham Region
LANEB-MS-W103-046,Adorned Aesthetics,Toowoomba,QLD,AUS,info@adornedaesthetics.com.au,0484 601 036,https://adornedaesthetics.com.au/,@adornedaesthetics_,"injectables,fillers,bio-remodelling,skin-needling,chemical-peels,IPL,RF-tightening,body-contouring",2,A,"injectables,skin,body-contouring,laser,anti-aging",W103-LaneB,Nurse-led; email+phone confirmed; SkinCeuticals retailer; hayfever treatment niche; Toowoomba Darling Downs QLD
LANEB-MS-W103-047,Ject Medical Aesthetics,Toowoomba,QLD,AUS,reception@ject.com.au,0409 579 643,https://ject.com.au/,@ject_medical_aesthetics,"Hayley RN, Mel RN","injectables,fillers,laser,skin-treatments,massages,dermaceutic-skincare",3,A,"injectables,skin,facial-aesthetics,anti-aging",W103-LaneB,Owner Hayley RN 18 yrs nursing 8 yrs cosmetic; Mel RN 29 yrs; email+phone confirmed on contact page; natural enhancement ethos; Toowoomba QLD
LANEB-MS-W103-048,Embrace Cosmetic Clinic,Bundaberg,QLD,AUS,,0429 182 123,https://www.embracecosmeticclinic.com/,,,"injectables,microneedling,skin-treatments,chemical-peels,IPL-SHR,LED-therapy,facial-restoration,skin-lesion-removal",1,A,"injectables,skin,laser,facial-aesthetics",W103-LaneB,Registered cosmetic nurse; Graduate Diploma AACDS; 8+ yrs Bundaberg; phone confirmed; AHPRA registered; Fresh Clinics supplier; locally owned
LANEB-MS-W103-049,Radiant Reflections Weight Loss Clinic & MedSpa,Hattiesburg,MS,USA,,601-268-7777,https://radiantreflectionsms.com/,@radiantreflectionshattiesburg,Dr. Omolara Otaigbe MD CDE,"injectables,fillers,CoolSculpting,Morpheus8,laser,microneedling,BHRT,weight-loss,hair-rejuvenation,skin-tightening",6,A,"injectables,body-contouring,laser,hormones,weight-loss,anti-aging",W103-LaneB,Medical Director Dr. Omolara Otaigbe MD CDE board-certified; physician-led; 50+ yrs combined team; weight loss + full medspa; phone confirmed on site; 12+ yrs in market
LANEB-MS-W103-050,Face First Medical Aesthetics & Wellness,Orillia,ON,CAN,info@facefirstinjectables.com,705-418-2903,https://www.facefirstinjectables.com/,,Emily Greb NP,"injectables,fillers,PRF-PRP,thread-lift,microneedling,RF-microneedling,IV-therapy,laser,Emsculpt-Neo,O-Shot,Emsella,weight-loss,CO2-laser",3,A,"injectables,regenerative,IV-therapy,body-contouring,laser,wellness,weight-loss",W103-LaneB,Owner Emily Greb NP; Orillia's only NP-led medspa; email+phone confirmed; IV therapy + PRF + weight loss full stack; formed 2018; Laurentian Univ NP grad 2009
LANEB-MS-W103-051,The Aesthetics Lounge,Southend-on-Sea,England,UK,info@theaestheticslounge.uk,01702 430489,https://theaestheticslounge.uk/,@theaestheticsloungeuk,Ellie (founder),"injectables,fillers,RF-microneedling,skin-rejuvenation,body-sculpting,laser-hair-removal,ZO-skin-health",3,A,"injectables,skin,laser,body-contouring,facial-aesthetics",W103-LaneB,Founder Ellie; GMC-regulated doctor + nurse prescriber on staff; email+phone confirmed; Southend-on-Sea Essex; ZO Skin Health partner
