lead_id,business_name,owner_name,title,email,phone,website,city,state_province,country,specialty,tier,source_wave,niche,notes
LANEB-MS-W104-014,Premier Medical Spa of Lufkin,,Owner,info@premierlufkin.com,(936) 238-2904,https://premiermedicalspalufkin.com,Lufkin,TX,USA,injectables|laser|skin|anti-aging|facial-aesthetics,A,W104-LaneB,MedSpa,"Best of Lufkin 2025 winner; Morpheus8/Aerolase/IPL/PDO threads; fallback metro E Texas; independent team practice"
LANEB-MS-W104-015,Viva La MedSpa,Rachit (owner) / Veronica (NP),RN Bilingual Provider,info@vivalamedspa.com,(312) 971-5915,https://vivalamedspa.com,Chicago / Buffalo Grove,IL,USA,injectables|skin|facial-aesthetics,A,W104-LaneB,MedSpa,"Bilingual Hispanic-led medspa; 2 IL locations; Botox/fillers/microneedling/vitamin therapy; active Latina clientele"
LANEB-MS-W104-016,K Beauty Lab Seattle,,Owner,info@kbeautylabseattle.com,(206) 999-6524,https://kbeautylabseattle.com,Seattle,WA,USA,Korean-skincare|facial-aesthetics|skin,A,W104-LaneB,MedSpa,"Authentic Korean skincare clinic; 5000+ clients; 10+ yrs exp; LHALA anti-aging peel + Hysonic Lift + skin analysis"
LANEB-MS-W104-017,NextGen Male Medical Clinic,Nick Kucera / Clinton Boyd,Co-Founders / Owners,service@nextgenmmc.com,(402) 614-9700,https://nextgenmalemedicalclinic.com,Omaha,NE,USA,men-focused|hormones|IV-therapy|weight-loss,A,W104-LaneB,MedSpa,"Men-only TRT/ED/peptides/semaglutide clinic; owner-operators who personally use TRT; Best of Omaha; also does Jeuveau injectables"
LANEB-MS-W104-018,Aesthetic Solutions Medical Clinic,,Owner,info@aestheticsolutions.co.uk,01872 272520,https://aestheticsolutions.co.uk,Truro,Cornwall,UK,injectables|laser|skin|anti-aging|facial-aesthetics,A,W104-LaneB,MedSpa,"CQC-accredited; 20+ yrs experience; Truro Cornwall; CoolSculpting/fillers/laser/rosacea; medically-led independent"
LANEB-MS-W104-019,Rejuvenate 528 Medical Spa,PA Suiter,PA-C Owner,,941-894-4990,https://www.rejuvenate528.com,Sarasota,FL,USA,regenerative|vampire-facial|wellness|IV-therapy,A,W104-LaneB,MedSpa,"Regenerative PRP aesthetics; O-shot/ThermiVa/vampire facelift; PA Suiter owner; independent Sarasota boutique"
LANEB-MS-W104-020,LAK MedSpa,Dr. Lisa Ohman Erhard,Owner / Medical Director,,952-473-6642,https://www.lakmedspa.com,Wayzata,MN,USA,injectables|weight-loss|wellness|skin,A,W104-LaneB,MedSpa,"Physician-owner; semaglutide GLP-1 + O-shot + full medspa; Wayzata MN; upscale lakeside market"
LANEB-MS-W104-021,Gilded Glow Aesthetics,Samantha Chappell,APRN FNP-C / Owner,samanthacNP831@gmail.com,(479) 857-1598,https://www.gildedglowaesthetics.com,Russellville,AR,USA,injectables|weight-loss|IV-therapy|hormones|skin,A,W104-LaneB,MedSpa,"10-yr NP owner; full-service: Botox/fillers/PRP/microneedling/semaglutide/HRT/IV; fallback metro AR; boutique appointment-only"
LANEB-MS-W104-022,Glow MedSpa,Alison Jappy,Aesthetic Nurse Practitioner / Owner,hello@glowmedspa.co.uk,07457403261,https://glowmedspa.co.uk,Inverness,Scotland,UK,injectables|skin|anti-aging|facial-aesthetics,A,W104-LaneB,MedSpa,"Nurse-led solo indie clinic Inverness; HIS & Save Face regulated; Profhilo + PRP + fillers + skin health; fallback metro Scotland"
LANEB-MS-W104-023,Medical Aesthetics Orange,,Doctor-Owner,,,(https://www.medicalaestheticsorange.com),Orange,NSW,Australia,injectables|skin|anti-aging|body-contouring|hair-restoration,B,W104-LaneB,MedSpa,"Doctor-led clinic Central West NSW; PRP/anti-aging/body sculpting/hair loss; contact form only; AU fallback metro"
LANEB-MS-W104-024,AnAesthetics (ABM Wellness),Mindy Grady,RN MSN CRNA / Owner,abmwellness@gmail.com,(919) 800-0918,https://medspagoldsboro.com,Goldsboro,NC,USA,injectables|laser|anti-aging|facial-aesthetics|skin,A,W104-LaneB,MedSpa,"CRNA-owner; Ultherapy/Emsella/plasma facial/laser CO2/RF microneedling/tattoo removal; eastern NC fallback metro"
LANEB-MS-W104-025,Natural Beauty Aesthetics,Marisa Montgomery,Owner / Provider,marisa@naturalbeautygoldsboro.com,(919) 229-9961,https://www.naturalbeautygoldsboro.com,Goldsboro,NC,USA,injectables|skin|hormones|laser|facial-aesthetics,A,W104-LaneB,MedSpa,"Owner-led; HydraFacial/Botox/fillers/HRT/laser treatments; Goldsboro NC; EvexiPEL hormone pellet certified"
LANEB-MS-W104-026,Conway Med Spa,,Owner,medspa@conwaymedspa.com,(501) 932-0936,https://www.conwaymedspa.com,Conway,AR,USA,injectables|skin|laser|facial-aesthetics,A,W104-LaneB,MedSpa,"Independent medspa Conway AR fallback metro; injectables/laser/facials/massages; physician-led"
LANEB-MS-W104-027,Wylah Medical & Aesthetics,Dr. Olivia Fox,GP Registrar / Owner,reception@wylahsa.com.au,0477 926 918,https://wylahsa.com.au,Bathurst / Orange,NSW,Australia,injectables|skin|anti-aging|facial-aesthetics,A,W104-LaneB,MedSpa,"Doctor-owned; 2 regional NSW clinic locations Bathurst + Orange; PRP/cosmetic injectables; AU fallback metros"
LANEB-MS-W104-028,North Coast Medispa,,Owner,info@northcoastmedispa.com.au,1800 186 333,https://www.northcoastmedispa.com.au,Lismore / Ballina / Byron Bay,NSW,Australia,injectables|laser|skin|anti-aging|facial-aesthetics,A,W104-LaneB,MedSpa,"Multi-location independent clinic Northern NSW; cosmetic injectables + laser + skin treatments; AU fallback metro"
LANEB-MS-W104-029,Skin by Nurse Ally,Ally Shaw,RN Cosmetic Injector / Owner,,,(https://skinbynurseally.gettimely.com),Alice Springs,NT,Australia,injectables|facial-aesthetics|skin|anti-aging,B,W104-LaneB,MedSpa,"Solo nurse injector Alice Springs NT; PG Diploma Cosmetic Nursing; Rejuran/microneedling/anti-wrinkle; only cosmetic injector in remote NT"
LANEB-MS-W104-030,Elevate Wellness KC (now Respira Wellness),Dr. David Whitmer,MD / Owner,drdavidwhitmer@elevatewellnesskc.com,(816) 806-4969,https://www.elevatewellnesskc.com,Lenexa,KS,USA,ketamine|IV-therapy|hormones|injectables|wellness,A,W104-LaneB,MedSpa,"MD owner; ketamine + IV NAD+/Myers/glutathione + Botox + HRT + microneedling + weight loss; bilingual (Se Habla Español)"
LANEB-MS-W104-031,SANTÉ Aesthetics & Regenerative Medicine,Dr. Marcea Wiggins,ND / Owner,info@santepdx.com,(971) 407-3066,https://santepdx.com,Portland,OR,USA,regenerative|injectables|IV-therapy|wellness|anti-aging,A,W104-LaneB,MedSpa,"Naturopathic doctor-owner; regenerative aesthetics PDX; Botox/fillers/IV/PRP; independent boutique clinic"
LANEB-MS-W104-032,Rejuvenation Medical Aesthetics,Jessica Pechtel,Owner,,509-961-2234,https://www.rejuvenationyakima.com,Yakima,WA,USA,injectables|facial-aesthetics|skin|anti-aging,A,W104-LaneB,MedSpa,"Owner-operated Yakima WA fallback metro; injectables-focused boutique; sole practitioner appointment-only"
LANEB-MS-W104-033,Touch of Elegance MedSpa,,Board-Certified Physician Owner,info@medspaelegance.com,(470) 651-5996,https://www.medspaelegance.com,McDonough,GA,USA,injectables|skin|laser|body-contouring|facial-aesthetics,A,W104-LaneB,MedSpa,"Physician-led indie medspa McDonough GA; PDO threads + injectables + body sculpting + laser; fallback metro Henry County"
LANEB-MS-W104-034,Medical Day Spa of Chapel Hill,Hillary Casselli,RN / Owner (2024),spacoordinator@chapelhilldayspa.com,(919) 904-7111,https://chapelhilldayspa.com,Chapel Hill,NC,USA,injectables|laser|skin|facial-aesthetics|weight-loss,A,W104-LaneB,MedSpa,"RN owner since 2024; physician-supervised aesthetics; Botox/fillers/laser/semaglutide; independent boutique medspa Chapel Hill NC"
LANEB-MS-W104-035,Flawless MedSpa,Melanie Speed,APRN NP-C CANS / Founder,info@flawlessmedspas.com,(702) 588-2260,https://www.flawlessmedspas.com,Las Vegas,NV,USA,injectables|laser|body-contouring|thread-lift|IV-therapy|weight-loss,A,W104-LaneB,MedSpa,"APRN NP founder; 30+ yrs nursing; 12 yrs injector; thread lifts + Botox + fillers + IV + semaglutide; Las Vegas independent NP-owned boutique"
LANEB-MS-W104-036,Be You Medical Spa & Wellness,Kristine Haasl / Darbi Anderson,NP + RN Co-Owners,BeBeautiful@be-you-medspa.com,,https://www.be-you-medspa.com,Missoula,MT,USA,injectables|weight-loss|IV-therapy|skin|anti-aging,A,W104-LaneB,MedSpa,"NP + RN co-owners; 30+ yrs healthcare; weight loss injections + aesthetics + IV therapy; independent downtown Missoula medspa"
LANEB-MS-W104-037,Vive Med Spa,,Owner (mrjanisch),mrjanisch@shaw.ca,403-237-8428,https://vivemedspa.ca,Calgary,AB,Canada,injectables|laser|skin|anti-aging|facial-aesthetics|body-contouring,A,W104-LaneB,MedSpa,"Boutique independent medspa since 2007; Aspen Landing Calgary; direct owner email confirmed; personalized aesthetics + laser + skin"
LANEB-MS-W104-038,Angel Aesthetics Clinic,Sylvia Crouch,RN / Founder,info@angelaestheticsclinic.com.au,0435 64 703,https://angelaestheticsclinic.com.au,Brisbane,QLD,Australia,injectables|facial-aesthetics|skin|anti-aging,A,W104-LaneB,MedSpa,"RN founder; 50000+ treatments QLD; anti-wrinkle + fillers + fat dissolving; also runs Angel Aesthetics Institute; Brisbane Gold Coast Perth"
LANEB-MS-W104-039,Aesthetics on Point (SCinjectables),Su-en Chow,RN Cosmetic Injector / Owner,scinjectables@gmail.com,0490 810 943,https://www.aestheticsonpoint.com.au,Brisbane (Kangaroo Point),QLD,Australia,injectables|thread-lift|facial-aesthetics|skin|anti-aging,A,W104-LaneB,MedSpa,"RN owner-injector; 8+ yrs cosmetic injector; anti-wrinkle + lip filler + PDO matrix threads; solo independent appointment-only clinic"
LANEB-MS-W104-040,CNL Aesthetics,Cheryl,Aesthetic Nurse Practitioner / Owner,cheryl@cnlaesthetics.co.uk,07368 402738,https://cnlaesthetics.co.uk,Cheltenham,Gloucestershire,UK,injectables|IV-therapy|facial-aesthetics|anti-aging|skin,A,W104-LaneB,MedSpa,"NMC-registered NP owner; Cheltenham indie clinic; Botox + IV vitamin drip + Profhilo + fillers; boutique appointment-only practice"
LANEB-MS-W104-041,Dr Bailey MedSpa,Dr Bailey,Dentist & Aesthetic Practitioner / Owner,info@drbaileymedspa.co.uk,07907 198878,https://drbaileymedspa.co.uk,Leeds,West Yorkshire,UK,injectables|facial-aesthetics|anti-aging|skin,A,W104-LaneB,MedSpa,"Dentist-aesthetic owner; sustainable aesthetics focus; anti-wrinkle + fillers + lip; inside Roots of Respect Wellbeing Centre Leeds"
LANEB-MS-W104-042,SkinFitOKC,Shyla Ryan,Founder / Owner,shylaryan@skinfitokc.com,(405) 849-5549,https://skinfitokc.com,Edmond,OK,USA,injectables|skin|facial-aesthetics|anti-aging|laser,A,W104-LaneB,MedSpa,"Founder-owned boutique anti-aging medspa since 2020; Edmond OK; Rejuvapen microneedling + injectables + laser; direct owner email"
LANEB-MS-W104-043,Highwater Aesthetics,Dr. Amanda Satterwhite,MD / Owner,Staff@highwateraesthetics.com,(405) 888-8105,https://www.highwateraesthetics.com,Edmond,OK,USA,injectables|laser|skin|anti-aging|body-contouring,A,W104-LaneB,MedSpa,"ER physician-owner; Morpheus8 + Botox + fillers + laser resurfacing; Edmond OKC metro; independent physician-led medspa"
LANEB-MS-W104-044,The Art of Aesthetics Med Spa,,Owner,artofaestheticsmedspa@gmail.com,(803) 888-7780,https://www.artofaestheticsmedspa.com,Columbia,SC,USA,injectables|laser|skin|facial-aesthetics,A,W104-LaneB,MedSpa,"Independent medspa Columbia SC Harbison area; Botox + fillers + laser hair removal + HydraFacials; direct email confirmed"
LANEB-MS-W104-045,Mountain Radiance Medical Spa,Dr. Mark Chandler,MD / Owner & Medical Director,info@mountainradiance.com,(828) 627-2711,https://mountainradiance.com,Asheville,NC,USA,injectables|skin|laser|anti-aging|facial-aesthetics,A,W104-LaneB,MedSpa,"Double board-certified MD owner; Asheville NC; Botox/fillers/laser/microneedling; independent physician-led boutique medspa"
LANEB-MS-W104-046,Ketamine & IV Therapy Clinic of NWA,Chelsi Musick / Brittney Underwood,CRNA Co-Founders,,479-318-2382,https://www.ketamineclinicofnwa.com,Lowell,AR,USA,ketamine|IV-therapy|wellness|biohacking,A,W104-LaneB,MedSpa,"CRNA co-founders; 350+ patients/month; ketamine + IV NAD+/ozone + mobile IV; AY Faces of Arkansas feature; NWA region"
LANEB-MS-W104-047,Promethean Clinic,Parveen Sangha,NP / Founder,info@prometheanclinic.ca,778-879-7666,https://prometheanclinic.ca,Vancouver,BC,Canada,injectables|body-contouring|IV-therapy|wellness|hormones,A,W104-LaneB,MedSpa,"NP founder; former VCH Medical Director; women's health focus; Botox/fillers/body contouring/IV therapy; luxury independent Vancouver medspa"
LANEB-MS-W104-048,Australian Aesthetics Co,Kimberly Starr,RN / Director,bookings@australianaestheticsco.com.au,+61 411 944 820,https://australianaestheticsco.com.au,Seaford Meadows / Hyde Park,SA,Australia,injectables|thread-lift|facial-aesthetics|skin|anti-aging,A,W104-LaneB,MedSpa,"RN director; top SA cosmetic nurse; anti-wrinkle + fillers + PRP + PDO threads; 2 SA clinic locations; independent boutique"
LANEB-MS-W104-049,Bank MediSpa,Dr. Ahmed,Aesthetic Physician / Owner,info@bankmedispa.co.uk,0161 204 7382,https://bankmedispa.co.uk,Hale / Altrincham,Cheshire,UK,injectables|laser|skin|anti-aging|facial-aesthetics,A,W104-LaneB,MedSpa,"Award-winning doctor-owned indie clinic Hale village; UK top aesthetics practitioner; advanced injectables + laser; opened 2020"
LANEB-MS-W104-050,Faces MedSpa,Dr. Daniel Givens,MD FACS / Owner,questions@facesmedspa.org,(563) 239-9039,https://www.facesmedspa.org,Dubuque,IA,USA,injectables|laser|facial-aesthetics|skin|anti-aging,A,W104-LaneB,MedSpa,"Double board-certified facial plastic surgeon-owner; Dubuque IA fallback metro; laser resurfacing + Botox + fillers + facials"
LANEB-MS-W104-051,InnerBeauty Med Spa & Laser,Brandi Wiege,Owner / Founder,ibmedspa@ibmedspa.com,(763) 307-2600,https://www.ibmedspa.com,Blaine,MN,USA,injectables|laser|body-contouring|skin|facial-aesthetics,A,W104-LaneB,MedSpa,"Owner with 20 yrs experience; 7 yrs alongside cosmetic surgeon pre-launch; indie medspa Blaine MN since 2014; 2 MN locations"
LANEB-MS-W104-052,Aesthetic Lab,Gifty Aidoo,FNP-C / Owner,,(209) 554-5595,https://aestheticlabinc.com,Modesto / Turlock / Stockton,CA,USA,injectables|skin|facial-aesthetics|anti-aging,A,W104-LaneB,MedSpa,"FNP-C owner; 30 yrs practice; 3 Central Valley CA locations; Botox/fillers/cosmetic injections; women-owned NP-led indie medspa"
