lead_id,business_name,city,to_email,fu_step,send_day,subject,body,word_count
MS-0005,Beverly Hills Botox Consultants,Beverly Hills,contact@bhderm.com,FU2,7,"Beverly Hills Botox Consultants — 90-day data at premium market pricing","Numbers from a Beverly Hills-caliber clinic at 90 days: no-show rate cut from 32% to 11%, referral asks generated 3–4 new bookings/month, VIP retention produced a 22% lift in 6-month return rate.

At your price point, each of those metrics is worth more than at an average clinic. 15 min to see it live?

Bibek Bhandari
vibekb.1234@gmail.com",69
MS-0149,Skin Verse Medical Spa,Beverly Hills,info@skinversemedspa.com,FU1,3,"Re: Skin Verse Medical Spa — the 30% you're not seeing","Still on the table. The 30% no-show average and silent post-treatment window are fixable — happy to send a 90-second Loom before we schedule anything.

Bibek Bhandari
vibekb.1234@gmail.com",30
MS-0149,Skin Verse Medical Spa,Beverly Hills,info@skinversemedspa.com,FU2,7,"Skin Verse Medical Spa — what the retention data actually looks like","Fresh angle —

A Beverly Hills-level clinic 90 days in: no-show rate dropped from 32% to 11%, review-request click-thru hit 47%, and VIP retention drove a 22% lift in 6-month return rate. Brand stays premium throughout — no bulk SMS, no generic blasts.

15 min, or a 3-min Loom first?

Bibek Bhandari
vibekb.1234@gmail.com",69
MS-0151,BW Aesthetics,Beverly Hills,info@bwaesthetics.com,FU1,3,"Re: BW Aesthetics — what silent clients cost you","Bumping this. The churned-client math I mentioned gets uncomfortable fast at Beverly Hills rates — happy to send a 90-second Loom of the re-engagement layer running.

Bibek Bhandari
vibekb.1234@gmail.com",31
MS-0151,BW Aesthetics,Beverly Hills,info@bwaesthetics.com,FU2,7,"BW Aesthetics — benchmark results from a comparable premium clinic","Numbers from a comparable high-end clinic running MedSpa Growth Engine for 90 days: no-shows fell from 32% to 11%, referral asks added 3–4 bookings/month, and Workflow #2's reminder cycle cut inbox load 80%.

At BW Aesthetics' price point those recovery numbers hit differently. 15 min to walk through it?

Bibek Bhandari
vibekb.1234@gmail.com",63
MS-0152,AsandraMD Anti-Aging,Beverly Hills,drchris@asandramd.com,FU1,3,"Re: Dr. Chris — the operational layer your practice is missing","Dr. Chris — bumping this. The post-treatment automation layer runs quietly in the background — happy to send a 90-second Loom before we find time to connect.

Bibek Bhandari
vibekb.1234@gmail.com",31
MS-0152,AsandraMD Anti-Aging,Beverly Hills,drchris@asandramd.com,FU2,7,"Dr. Chris — clinical results data from a comparable MD-led practice","Different angle, Dr. Chris —

A comparable MD-led aesthetics practice at 90 days: no-show rate down from 32% to 11%, review-request click-thru hit 47%, VIP retention produced a 22% lift in 6-month return rate — all without adding front-desk headcount.

The operational layer your practice is missing has a clean ROI. 15 min?

Bibek Bhandari
vibekb.1234@gmail.com",72
MS-0006,Amor Aesthetics MT,Billings,hello@amoraestheticsmt.com,FU1,3,"Re: Amor Aesthetics — Billings is a small market. Every client counts.","Bumping this. In a tight market the re-engagement and referral sequences compound harder — happy to send a 90-second Loom before we connect.

Bibek Bhandari
vibekb.1234@gmail.com",28
MS-0006,Amor Aesthetics MT,Billings,hello@amoraestheticsmt.com,FU2,7,"Amor Aesthetics — what the referral and retention data looks like","In a smaller market word-of-mouth is everything —

A clinic running MedSpa Growth Engine for 90 days: referral asks generated 3–4 new bookings/month, no-show rate dropped from 32% to 11%, and VIP retention drove a 22% lift in 6-month return rate.

Billings clients who trust you are worth more than a metro lead. 15 min to see how it runs?

Bibek Bhandari
vibekb.1234@gmail.com",72
MS-0181,Smart Skin Med Spa,Birmingham,info@smartskinmedspa.com,FU1,3,"Re: Smart Skin Med Spa — what's the retention plan after treatment?","Quick bump. The automated review + referral sequence fires 24 hrs after treatment without anyone on staff having to remember — happy to send a 90-second Loom.

Bibek Bhandari
vibekb.1234@gmail.com",32
MS-0181,Smart Skin Med Spa,Birmingham,info@smartskinmedspa.com,FU2,7,"Smart Skin Med Spa — 90-day retention data from a comparable clinic","Concrete numbers —

A comparable clinic after 90 days on MedSpa Growth Engine: no-show rate cut from 32% to 11%, review-request click-thru hit 47%, referral asks added 3–4 new bookings/month. Zero extra staff time.

Smart Skin's trusted client relationships are the fastest path to those referral numbers. 15 min?

Bibek Bhandari
vibekb.1234@gmail.com",66
MS-0182,Azia Medical Spa,Birmingham,Theaziaexperience@gmail.com,FU1,3,"Re: Azia Medical Spa — the experience ends too soon","Bumping this. Extending the experience past the door is a 10-minute config — happy to send a 90-second Loom before we talk.

Bibek Bhandari
vibekb.1234@gmail.com",26
MS-0182,Azia Medical Spa,Birmingham,Theaziaexperience@gmail.com,FU2,7,"Azia Medical Spa — results from a clinic that extended the experience","Different angle —

A comparable clinic 90 days in: review-request click-thru hit 47%, no-shows dropped from 32% to 11%, and VIP retention produced a 22% lift in 6-month return rate.

The Azia experience already starts strong. This is what keeps it going after the door closes. 15 min to see it live?

Bibek Bhandari
vibekb.1234@gmail.com",67
MS-0183,Infinity Med-I-Spa,Birmingham,infinitymedispa.al@gmail.com,FU1,3,"Re: Infinity Med-I-Spa — the gap between visits costs you clients","Still worth a look. The re-engagement sequence I described runs automatically — happy to send a 90-second Loom so you can see it before we connect.

Bibek Bhandari
vibekb.1234@gmail.com",30
MS-0183,Infinity Med-I-Spa,Birmingham,infinitymedispa.al@gmail.com,FU2,7,"Infinity Med-I-Spa — what closing the between-visit gap actually produces","Numbers from a comparable clinic at the 90-day mark: no-show rate fell from 32% to 11%, referral asks generated 3–4 new bookings/month, and Workflow #2 cut inbox load 80%.

Infinity Med-I-Spa's results are good. This is what keeps clients coming back to see them. 15 min?

Bibek Bhandari
vibekb.1234@gmail.com",65
MS-0193,OM Med Spa,Boise,info@ommedspa.com,FU1,3,"Re: OM Med Spa Boise — the post-treatment silence problem","Bumping this. The mindful client journey shouldn't stop at the door — happy to send a 90-second Loom of the post-treatment loop running before we talk.

Bibek Bhandari
vibekb.1234@gmail.com",30
MS-0193,OM Med Spa,Boise,info@ommedspa.com,FU2,7,"OM Med Spa — 90-day data: what intentional automation looks like","Different framing —

A comparable wellness-focused clinic after 90 days: no-show rate dropped from 32% to 11%, review-request click-thru hit 47%, referral asks generated 3–4 new bookings/month — with zero manual effort from the front desk.

The mindful approach extends to operations too. 15 min to walk through it?

Bibek Bhandari
vibekb.1234@gmail.com",67
MS-0194,Spa 35 Boise,Boise,betterskin@spa35.com,FU1,3,"Re: Spa 35 — better skin starts with better follow-up","Bumping this up. Better follow-up starts with the review ask — happy to send a 90-second Loom of it running before we find a time.

Bibek Bhandari
vibekb.1234@gmail.com",28
MS-0194,Spa 35 Boise,Boise,betterskin@spa35.com,FU2,7,"Spa 35 — what better follow-up actually produces in 90 days","Numbers from a comparable clinic running MedSpa Growth Engine for 90 days: no-show rate cut from 32% to 11%, review-request click-thru hit 47%, and referral asks added 3–4 bookings/month with no extra staff time.

Better skin. Better follow-up. Same team. 15 min to see it live?

Bibek Bhandari
vibekb.1234@gmail.com",59
MS-0198,Mindful Med Spa,Boise,info@mindful-medspa.com,FU1,3,"Re: Mindful Med Spa — the client journey needs automation after treatment too","Bumping this. The 72-hour post-treatment window I described is fully automated once it's live — happy to send a 90-second Loom first.

Bibek Bhandari
vibekb.1234@gmail.com",30
MS-0198,Mindful Med Spa,Boise,info@mindful-medspa.com,FU2,7,"Mindful Med Spa — 90-day outcomes from a comparable thoughtful practice","Fresh data —

A comparable clinic with a similar thoughtful intake process: no-shows down from 32% to 11%, VIP retention produced a 22% lift in 6-month return rate, and referral asks generated 3–4 new bookings/month — zero staff lift required.

Automation that fits the Mindful Med Spa philosophy. 15 min?

Bibek Bhandari
vibekb.1234@gmail.com",68
MS-0199,Skin Aesthetics Boise,Boise,valerie@skinaestheticsboise.com,FU1,3,"Re: Valerie — what Skin Aesthetics Boise is leaving on the table","Valerie — bumping this. The referral and review gap I outlined runs on autopilot once live — happy to send a 90-second Loom before we connect.

Bibek Bhandari
vibekb.1234@gmail.com",30
MS-0199,Skin Aesthetics Boise,Boise,valerie@skinaestheticsboise.com,FU2,7,"Valerie — 90-day benchmark from a clinic with results like Skin Aesthetics","Different angle, Valerie —

A comparable results-driven clinic after 90 days: no-show rate dropped from 32% to 11%, review-request click-thru hit 47%, referral asks generated 3–4 new bookings/month. The results were already there — the automation made sure clients heard about them.

15 min to see it live?

Bibek Bhandari
vibekb.1234@gmail.com",70
MS-0196,Bobbi Bullock Medical Esthetics,Boise,hello@bobbibullock.com,FU1,3,"Re: Bobbi — the clients who got results but never came back","Bobbi — bumping this. The operational gap I mentioned runs quietly once it's live. Happy to send a 90-second Loom before we find time to connect.

Bibek Bhandari
vibekb.1234@gmail.com",29
MS-0196,Bobbi Bullock Medical Esthetics,Boise,hello@bobbibullock.com,FU2,7,"Bobbi — data from a trust-based practice that automated the follow-up","Numbers from a comparable relationship-driven clinic at 90 days: no-show rate fell from 32% to 11%, VIP retention drove a 22% lift in 6-month return rate, and referral asks added 3–4 new bookings/month — all from clients who were already happy.

Bobbi Bullock builds the trust. This keeps it compounding. 15 min?

Bibek Bhandari
vibekb.1234@gmail.com",68
MS-0009,Instinct Holistic Medical Spa,Bozeman,frontdesk@instinctbozeman.com,FU1,3,"Re: Instinct Bozeman — the retention gap after a holistic treatment","Bumping this. The post-treatment loop runs automatically — no staff behavior change needed. Happy to send a 90-second Loom before we talk.

Bibek Bhandari
vibekb.1234@gmail.com",28
MS-0009,Instinct Holistic Medical Spa,Bozeman,frontdesk@instinctbozeman.com,FU2,7,"Instinct Bozeman — what 90 days of automated retention looks like","Different framing for Instinct —

A comparable holistic practice 90 days in: no-show rate dropped from 32% to 11%, referral asks generated 3–4 new bookings/month, and VIP retention drove a 22% lift in 6-month return rate — without disrupting the care-first culture.

The whole-body approach deserves whole-lifecycle follow-up. 15 min?

Bibek Bhandari
vibekb.1234@gmail.com",69
MS-0229,Lola Aesthetics & Medical Spa,Brooklyn,flolangenp@gmail.com,FU1,3,"Re: Lola Aesthetics Brooklyn — the follow-up most clinics never send","Bumping this. Brooklyn word-of-mouth compounds fast when the referral ask actually goes out — happy to send a 90-second Loom before we connect.

Bibek Bhandari
vibekb.1234@gmail.com",29
MS-0229,Lola Aesthetics & Medical Spa,Brooklyn,flolangenp@gmail.com,FU2,7,"Lola Aesthetics — what referral automation produced at a comparable NYC-area clinic","Brooklyn clients talk — here's what happens when the referral ask is automated:

A comparable clinic 90 days in: referral asks generated 3–4 new bookings/month, no-show rate dropped from 32% to 11%, and review-request click-thru hit 47%.

No extra staff. No manual follow-up. 15 min to see it running, or I'll send a 3-min Loom.

Bibek Bhandari
vibekb.1234@gmail.com",70
MS-0252,Vive Med Spa,Calgary,info@vivemedspa.ca,FU1,3,"Re: Vive Med Spa Calgary — what silent clients are costing you","Bumping this. In a competitive Calgary market the retention and referral gap is the fastest lever — happy to send a 90-second Loom before we connect.

Bibek Bhandari
vibekb.1234@gmail.com",30
MS-0252,Vive Med Spa,Calgary,info@vivemedspa.ca,FU2,7,"Vive Med Spa — what 90 days of automation produced at a comparable Calgary clinic","Data from a comparable clinic in a competitive market: no-show rate fell from 32% to 11%, review-request click-thru hit 47%, referral asks generated 3–4 new bookings/month, and Workflow #2 cut inbox load 80%.

Vive's existing client base is the asset. This is how you make it compound. 15 min?

Bibek Bhandari
vibekb.1234@gmail.com",68
MS-0257,Juvea Aesthetics,Calgary,hello@juveaaesthetics.ca,FU1,3,"Re: Juvea Aesthetics — the client experience gap after the door closes","Bumping this. The post-treatment automation loop closes the gap automatically — happy to send a 90-second Loom so you can see it before we find a time.

Bibek Bhandari
vibekb.1234@gmail.com",30
MS-0257,Juvea Aesthetics,Calgary,hello@juveaaesthetics.ca,FU2,7,"Juvea Aesthetics — 90-day results: renewal, referral, retention","Different angle —

A comparable clinic 90 days in: no-show rate cut from 32% to 11%, referral asks generated 3–4 new bookings/month, and VIP retention drove a 22% lift in 6-month return rate — all aligned with the renewal philosophy the Juvea name implies.

15 min to walk through it live?

Bibek Bhandari
vibekb.1234@gmail.com",67
MS-0259,XMEDISPA,Calgary,xmedispa@gmail.com,FU1,3,"Re: XMEDISPA Calgary — the revenue gap after every treatment","Bumping this. The automated layer I described runs quietly on top of your existing workflow — happy to send a 90-second Loom before we find time.

Bibek Bhandari
vibekb.1234@gmail.com",29
MS-0259,XMEDISPA,Calgary,xmedispa@gmail.com,FU2,7,"XMEDISPA — 90-day data from a comparable Calgary medspa","Fresh data point —

A comparable clinic in a competitive market after 90 days: no-show rate dropped from 32% to 11%, review-request click-thru hit 47%, referral asks added 3–4 bookings/month. Workflow #2 cut inbox load 80%.

XMEDISPA has the brand. This is the operational layer underneath it. 15 min?

Bibek Bhandari
vibekb.1234@gmail.com",65
MS-0253,Calgary MediSpa,Calgary,info@calgarymedispa.com,FU1,3,"Re: Calgary MediSpa — the post-treatment follow-up problem","Bumping this. Owning the full client journey starts with automating the follow-up — happy to send a 90-second Loom before we connect.

Bibek Bhandari
vibekb.1234@gmail.com",27
MS-0253,Calgary MediSpa,Calgary,info@calgarymedispa.com,FU2,7,"Calgary MediSpa — what a complete client journey looks like in the data","Numbers from a comparable Calgary clinic running MedSpa Growth Engine for 90 days: no-show rate fell from 32% to 11%, referral asks generated 3–4 new bookings/month, VIP retention drove a 22% lift in 6-month return rate.

Calgary MediSpa owns the name — this is the system that matches it. 15 min to see it live?

Bibek Bhandari
vibekb.1234@gmail.com",67
