lead_id,business_name,city,website,email,phone,enrichment_method,confidence_score,reasoning
MS-0941,Simplicity Med Spa,Seattle,https://www.simplicitymedspa.com/,simplicitymedspa@gmail.com,(206) 643-5325,websearch_email,72,"Email simplicitymedspa@gmail.com found verbatim in search snippet. Business-named Gmail. Confirmed as primary contact in multiple directories. Scored at floor for gmail domain."
MS-0939,Bellora Medical Aesthetics,Seattle,https://belloramedicalaesthetics.com/,beth@botoxbeth.com,(206) 683-4893,websearch_email,88,"Email beth@botoxbeth.com found verbatim in search snippet. Beth confirmed as owner/practitioner (botoxbeth.com is her personal brand site which redirects). Business domain contact confirmed. High confidence — named owner email."
MS-0809,Aura Aesthetics,Portland,https://www.aurapdx.com/,Hello@aurapdx.com,(971) 232-9232,websearch_email,82,"Email Hello@aurapdx.com found verbatim in search snippet (contact page). Business domain aurapdx.com confirmed. Non-generic branded prefix. Owner Suzanne Jagger CRNA confirmed on about page."
MS-0812,Limelight Medical Aesthetics,Portland,https://www.limelightmedicalaesthetics.com/,info@limelightmedicalaesthetics.com,(971) 808-4759,websearch_email,80,"Email info@limelightmedicalaesthetics.com found verbatim in search snippet. Business domain confirmed. Generic inbox. Domain MX valid."
MS-0813,Fresh Faces RX,Portland,https://freshfacesrx.com/,info@freshfacesrx.com,(503) 880-5755,websearch_email,80,"Email info@freshfacesrx.com found in search snippet. Business domain freshfacesrx.com confirmed. Generic inbox but domain-matched. MX valid."
MS-0814,Refreshed MD,Portland,https://refreshedmd.com/,hello@refreshedmd.com,(503) 208-6479,websearch_email,85,"Email hello@refreshedmd.com found verbatim in search snippet from contact page. Business domain refreshedmd.com confirmed. Branded non-generic prefix. Domain MX valid."
MS-0499,Center for Aesthetic Medicine,Las Vegas,https://www.centerforaestheticmedicine.com/,info@camhplv.com,(702) 333-4896,websearch_email,85,"Email info@camhplv.com found verbatim in search snippet. Domain camhplv.com is the clinic's operational email domain (matching Facebook handle camhplv). MX valid."
MS-0500,Seamless Aesthetics,Las Vegas,https://seamlessaesthetics.com/,seamlessaesthetics@gmail.com,(702) 602-2534,websearch_email,72,"Email seamlessaesthetics@gmail.com found verbatim in search snippet. Business-branded Gmail confirmed as primary contact. Scored at floor for gmail."
MS-0501,Luxe MD Aesthetics,Las Vegas,https://www.luxemdlv.com/,info@luxemdlv.com,(702) 478-7180,websearch_email,80,"Email info@luxemdlv.com found verbatim in search snippet. Business domain luxemdlv.com confirmed. Generic inbox. MX valid."
MS-0507,Chic la Vie Med Spa,Las Vegas,https://chiclavie.com/,info@chiclavie.com,(702) 233-8535,websearch_email,80,"Email info@chiclavie.com found verbatim in search snippet. Business domain chiclavie.com confirmed. Generic inbox. Domain MX valid. Operated under Dr. Lane Smith MD."
MS-0983,Opulent Medspa,Tampa,https://www.theopulentmedspa.com/,info@theopulentmedspa.com,(813) 443-0085,websearch_email,80,"Email info@theopulentmedspa.com found verbatim in search snippet. Business domain confirmed. Generic inbox. MX valid."
MS-0985,Elixir Aesthetics MedSpa,Tampa,https://www.elixiraestheticsmedspa.com/,hello@elixiraestheticsmedspa.com,(813) 219-1876,websearch_email,85,"Email hello@elixiraestheticsmedspa.com found verbatim in search snippet (staff email pattern confirmed with elzbieta@ and caitlin@ on same domain). Pattern validated. Non-generic branded prefix. MX valid."
MS-0990,Kiyani Aesthetics,Tampa,https://kiyanimedspa.com/,info@kiyanimedspa.com,(813) 618-3119,websearch_email,80,"Email info@kiyanimedspa.com found verbatim in search snippet. Business domain kiyanimedspa.com confirmed. Generic inbox. MX valid."
MS-0263,The Modern Aesthetic,Charlotte,https://www.themodernaesthetic.co/,info@themodernaesthetic.co,(704) 291-1568,websearch_email,85,"Email info@themodernaesthetic.co found verbatim in search snippet. Business domain themodernaesthetic.co confirmed. Non-standard TLD .co but domain-matched. Owner Kendra Lopez confirmed."
MS-0267,Voci MedSpa,Charlotte,https://vocimedspa.com/,info@vocimedspa.com,(704) 752-8030,websearch_email,80,"Email info@vocimedspa.com found verbatim in search snippet. Business domain vocimedspa.com confirmed. Generic inbox. Founded by Elaine Voci BSN. MX valid."
MS-0270,Fanous MedSpa,Charlotte,https://www.fanousmedspa.com/,info@fanousmedspa.com,(980) 414-0591,websearch_email,80,"Email info@fanousmedspa.com found verbatim in search snippet from contact page. Business domain fanousmedspa.com confirmed. Generic inbox. MX valid."
MS-0229,Lola Aesthetics,Brooklyn,https://lolaaestheticsmedispa.com/,flolangenp@gmail.com,(347) 228-2309,websearch_email,78,"Email flolangenp@gmail.com found verbatim in search snippet. Dr. Lola NP confirmed as owner/founder. Personal-professional Gmail. Confidence boosted by owner identity match."
MS-0554,Tribeca MedSpa,Manhattan,https://www.tribecamedspa.com/,info@tribecamedspa.com,(212) 925-9500,websearch_email,85,"Email info@tribecamedspa.com found verbatim in search snippet. Business domain tribecamedspa.com confirmed. Well-established NYC clinic. Generic inbox but domain-matched. MX valid."
MS-0553,Glowtox NYC,Manhattan,https://www.glowtoxnyc.com/,info@glowtoxnyc.com,(917) 756-8010,websearch_email,82,"Email info@glowtoxnyc.com found verbatim in search snippet from contact page. Business domain glowtoxnyc.com confirmed. Generic inbox. West Village Manhattan MedSpa. MX valid."
MS-0252,Vive Med Spa,Calgary,https://vivemedspa.ca/,info@vivemedspa.ca,(403) 237-8428,websearch_email,85,"Email info@vivemedspa.ca found verbatim in search snippet. Business domain vivemedspa.ca confirmed (.ca TLD). Generic inbox but domain-matched. MX valid."
MS-0257,Juvea Aesthetics,Calgary,https://juveaaesthetics.ca/,hello@juveaaesthetics.ca,(403) 975-7523,websearch_email,85,"Email hello@juveaaesthetics.ca found verbatim in search snippet from contact page. Business domain juveaaesthetics.ca confirmed. Non-generic branded prefix. MX valid."
MS-0259,XMEDISPA,Calgary,https://www.xmedispa.ca/,xmedispa@gmail.com,(403) 826-3396,websearch_email,72,"Email xmedispa@gmail.com found verbatim in search snippet. Business-named Gmail. Confirmed as primary contact in directory. Scored at floor for gmail domain."
MS-1035,Renue Medical Spa,Vancouver,https://www.renuemedspa.com/,info@renuemedspa.com,(604) 617-5557,websearch_email,85,"Email info@renuemedspa.com found verbatim in search snippet from contact page. Business domain renuemedspa.com confirmed (.com). Generic inbox. MX valid."
MS-1037,The Vanity Lab,Vancouver,https://www.thevanitylab.com/,info@thevanitylab.com,(604) 699-1001,websearch_email,85,"Email info@thevanitylab.com found verbatim in search snippet. Business domain thevanitylab.com confirmed. Generic inbox. Yaletown Vancouver. MX valid."
MS-1039,Yaletown Laser Centre,Vancouver,https://www.yaletownlaser.com/,reception@yaletownlaser.com,(604) 331-1777,websearch_email,85,"Email reception@yaletownlaser.com found verbatim in search snippet from contact page. Business domain yaletownlaser.com confirmed. Non-generic operational prefix. MX valid."
MS-1041,First Avenue Medical Spa,Vancouver,https://firstavemedicalspa.com/,firstavemedicalspa@gmail.com,(604) 568-0558,websearch_email,72,"Email firstavemedicalspa@gmail.com found verbatim in search snippet. Business-branded Gmail. Multiple directories confirm. Scored at floor for gmail."
MS-1008,SKN Yorkville,Toronto,https://www.yourskn.com/,info@yourskn.com,(416) 260-2620,websearch_email,85,"Email info@yourskn.com found verbatim in search snippet from contact page. Business domain yourskn.com confirmed. Generic inbox. Yorkville Toronto location. MX valid."
MS-1010,Rejuuv Medi Spa,Toronto,https://rejuuvmedispa.com/,info@rejuuvmedispa.com,(416) 929-2992,websearch_email,85,"Email info@rejuuvmedispa.com found verbatim in search snippet. Business domain rejuuvmedispa.com confirmed. Generic inbox. Multi-location Toronto MedSpa. MX valid."
MS-1014,Signature Cosmetic Clinic,Toronto,https://signaturemedispa.com/,info@signaturemedispa.com,(647) 673-3837,websearch_email,85,"Email info@signaturemedispa.com found verbatim in search snippet from contact page. Business domain signaturemedispa.com confirmed. Generic inbox. Multi-location GTA clinic. MX valid."
