lead_id,business_name,city,to_email,fu_step,send_day,subject,body,word_count
MS-0130,Flawless Medispa,Bellevue,LMaragh551@gmail.com,FU3,14,no reply = no problem,"Flawless Medispa,

Last one. If no-shows aren't the problem they used to be or the budget isn't there right now, that's totally fair — a ""not now"" reply closes the loop. Demo's available whenever it makes sense.

Bibek Bhandari
vibekb.1234@gmail.com",36
MS-0005,Beverly Hills Botox Consultants,Beverly Hills,contact@bhderm.com,FU3,14,final check-in,"Beverly Hills Botox Consultants,

Last message. At your price point, a churned client is an expensive one — but if the retention loop is already handled or the timing's off, ""not now"" is enough. Won't follow up after this.

Bibek Bhandari
vibekb.1234@gmail.com",37
MS-0149,Skin Verse Medical Spa,Beverly Hills,info@skinversemedspa.com,FU3,14,closing the loop,"Skin Verse Medical Spa,

Closing this out. If Beverly Hills clients are already getting the post-treatment follow-up they expect, or this just isn't the right moment, a quick ""pass"" is all I need. No further outreach from me.

Bibek Bhandari
vibekb.1234@gmail.com",37
MS-0151,BW Aesthetics,Beverly Hills,info@bwaesthetics.com,FU3,14,should I move on?,"BW Aesthetics,

Final note before I move on. If retention is already running or the math on a retainer doesn't work right now, that's fair — a ""not interested"" stops the outreach. No hard feelings either way.

Bibek Bhandari
vibekb.1234@gmail.com",35
MS-0152,AsandraMD Anti-Aging,Beverly Hills,drchris@asandramd.com,FU3,14,last one from me,"Dr. Chris,

Last message. If the post-treatment operational layer is already in place at AsandraMD or the timing's just off, a quick ""pass"" closes the loop cleanly. Happy to revisit if the need comes up.

Bibek Bhandari
vibekb.1234@gmail.com",36
MS-0006,Amor Aesthetics MT,Billings,hello@amoraestheticsmt.com,FU3,14,wrapping this up,"Amor Aesthetics,

Leaving it here. In a market like Billings, every retained client matters — but if you've got follow-up covered or this isn't the right time, ""not now"" is all it takes. No follow-up from me after this.

Bibek Bhandari
vibekb.1234@gmail.com",37
MS-0181,Smart Skin Med Spa,Birmingham,info@smartskinmedspa.com,FU3,14,no reply = no problem,"Smart Skin Med Spa,

Last one from me. If Birmingham clients are already getting review asks and referral prompts, or the timing's wrong, a ""not now"" closes the loop — I'll stop here. Offer stays available whenever.

Bibek Bhandari
vibekb.1234@gmail.com",35
MS-0182,Azia Medical Spa,Birmingham,Theaziaexperience@gmail.com,FU3,14,final check-in,"Azia Medical Spa,

Final check-in. If the experience already extends past the treatment room door or this isn't the right moment, just say ""pass"" — no pressure, no follow-up. Happy to pick it back up if things change.

Bibek Bhandari
vibekb.1234@gmail.com",36
MS-0183,Infinity Med-I-Spa,Birmingham,infinitymedispa.al@gmail.com,FU3,14,closing the loop,"Infinity Med-I-Spa,

Closing out here. If the gap between visits is already filled with automated follow-up or the budget's not there right now, ""not now"" is a complete answer. No further messages from me after this.

Bibek Bhandari
vibekb.1234@gmail.com",36
MS-0193,OM Med Spa,Boise,info@ommedspa.com,FU3,14,should I move on?,"OM Med Spa,

Last message. If a mindful approach to retention is already built into the practice or the timing's off, a simple ""not now"" is all I need. No follow-up after this — demo's open if it ever fits.

Bibek Bhandari
vibekb.1234@gmail.com",36
MS-0194,Spa 35 Boise,Boise,betterskin@spa35.com,FU3,14,last one from me,"Spa 35,

Last one from me. If better follow-up is already in the system or this isn't the right season to look at it, a ""pass for now"" closes the loop cleanly. Happy to leave it there.

Bibek Bhandari
vibekb.1234@gmail.com",33
MS-0198,Mindful Med Spa,Boise,info@mindful-medspa.com,FU3,14,wrapping this up,"Mindful Med Spa,

Wrapping up my Boise outreach. If the 72-hour post-treatment window is already covered or this isn't the right time, just say ""not now"" — I'll stop here and leave the door open for later.

Bibek Bhandari
vibekb.1234@gmail.com",35
MS-0199,Skin Aesthetics Boise,Boise,valerie@skinaestheticsboise.com,FU3,14,no reply = no problem,"Valerie,

Last note. If Skin Aesthetics Boise already has the post-treatment follow-up dialed in or this just isn't the moment, a ""pass"" is enough — no follow-up after this. Offer's there if the need comes back.

Bibek Bhandari
vibekb.1234@gmail.com",37
MS-0196,Bobbi Bullock Medical Esthetics,Boise,hello@bobbibullock.com,FU3,14,final check-in,"Bobbi,

Final check-in. If the retention side of the practice is already automated or the timing's just not right, a quick ""not now"" closes this cleanly. No follow-up from me — offer stays open whenever.

Bibek Bhandari
vibekb.1234@gmail.com",34
MS-0009,Instinct Holistic Medical Spa,Bozeman,frontdesk@instinctbozeman.com,FU3,14,closing the loop,"Instinct Holistic Medical Spa,

Last one. If the post-treatment follow-up already fits the holistic approach or this isn't the right time, ""not now"" is all it takes. Won't follow up again — demo's available if the need arises.

Bibek Bhandari
vibekb.1234@gmail.com",36
MS-0229,Lola Aesthetics & Medical Spa,Brooklyn,flolangenp@gmail.com,FU3,14,should I move on?,"Lola Aesthetics,

Last message from me. Brooklyn clients talk — a well-timed referral ask is worth more here than most places. But if the timing's off or it's already covered, ""not now"" is a fine answer. No follow-up after this.

Bibek Bhandari
vibekb.1234@gmail.com",38
MS-0252,Vive Med Spa,Calgary,info@vivemedspa.ca,FU3,14,last one from me,"Vive Med Spa,

Wrapping up. Calgary's a competitive market — but if the retention loop is already running or the retainer doesn't fit right now, a quick ""pass"" is enough. Happy to stop here. Offer stays open.

Bibek Bhandari
vibekb.1234@gmail.com",36
MS-0257,Juvea Aesthetics,Calgary,hello@juveaaesthetics.ca,FU3,14,wrapping this up,"Juvea Aesthetics,

Last one from me. If the post-treatment client experience is already automated or this isn't the right time, just say ""not now"" — I'll close the loop and move on. Demo's available whenever it fits.

Bibek Bhandari
vibekb.1234@gmail.com",35
MS-0259,XMEDISPA,Calgary,xmedispa@gmail.com,FU3,14,no reply = no problem,"XMEDISPA,

Last note. Strong brand in a competitive Calgary market — but if you've got the follow-up side covered or the timing's off, a ""not interested"" is all I need. No follow-up after this. Thanks for the time.

Bibek Bhandari
vibekb.1234@gmail.com",37
MS-0253,Calgary MediSpa,Calgary,info@calgarymedispa.com,FU3,14,final check-in,"Calgary MediSpa,

Final check-in. If the full client journey is already automated past the treatment room or the budget isn't there right now, ""not now"" closes the loop cleanly. Won't follow up — demo's there if it helps.

Bibek Bhandari
vibekb.1234@gmail.com",36
