lead_id,name,city,neighborhood,reviews,rating,key_hook,subject_line,confidence,notes
N01,LushBeauty MedSpa,New York,Manhattan Harlem,108,4.9,"108 reviews at 4.9 on Adam Clayton Powell in Harlem — Harlem indies are where the no-show pain hits hardest because the foot traffic doesn't cover the gap like Midtown does",quick question about Harlem,high,Harlem indie
N02,Beso Aesthetics,New York,Manhattan UES,383,5.0,"383 reviews at 5 stars on 5th Ave UES — that's elite-tier for a UES indie, multi-service plastic-surgery-adjacent positioning where retention is the moat",quick question about UES retention,high,UES top-tier
N03,Deep Blue Med Spa,New York,Manhattan UES,131,4.8,"131 reviews at 4.8 on Park Ave UES — strong indie signal in a zip code where every Park Ave block has a competitor, retention is the actual differentiator",quick question about Park Ave,high,Park Ave indie
N04,UpLift Spa,New York,Manhattan East Harlem,126,4.9,"126 reviews at 4.9 on E 116th in East Harlem — women-owned, Spanish-speaking indie in a corridor where the retention pain is silent but real",quick question about East Harlem,high,women-owned Spanish-speaking
N05,SkinSpirit New York UES,New York,Manhattan UES,304,4.9,"304 reviews at 4.9 on E 89th — that's premium UES volume and means the retention is humming, but reviews like that get won by clinics that ask after every visit, not occasionally",quick question about UES reviews,high,UES premium volume
N06,Montesino Esthetic Center,New York,Manhattan Harlem,47,4.9,"47 reviews at 4.9 on W 142nd — Harlem solo operator size, the moment where every lapsed client really shows up in the books",quick question about W 142nd,medium,Harlem solo operator
N09,VJ MedSpa,New York,Manhattan UES,75,4.5,"75 reviews on Lexington — the 4.5 rating (vs the 4.9s nearby on UES) usually traces to a couple of no-show recovery moments that didn't land. Tighter automation typically fixes that",quick question about your reviews,high,UES 4.5 signal
N10,Smooth Synergy Medical Spa,New York,Manhattan UES,199,5.0,"199 reviews at 5 stars on E 79th — women-owned UES indie at the size where 5-star consistency means the owner is in every appointment, exactly where the front-desk burden is heaviest",quick question about E 79th retention,high,women-owned UES indie
N13,Future Face & Body Medspa,New York,Manhattan UWS,44,5.0,"44 reviews at 5 stars on W 72nd — UWS solo operator size, the moment in growth where retention engineering matters more than marketing",quick question about UWS growth,medium,UWS solo operator
N14,SKINNEY Medspa,New York,Manhattan Flatiron,453,4.7,"453 reviews on 5th Ave Flatiron — that's already top-tier for downtown indie aesthetics, which means the retention work is done, just unscripted",quick question about Flatiron,high,Flatiron top-tier
